,height lake,height downstream,flow lake,flow flood,flow downstream,time
708,69.0098,7.34,8.996468222222221,0,10.93788,2020-01-23
709,69.0226,7.91,9.09287985185185,0,8.95428,2020-01-24
710,68.9831,8.42,8.85991866666667,0,14.725079999999998,2020-01-25
711,69.0056,8.2,8.98985533333333,0,11.64672,2020-01-26
712,69.0152,7.91,8.64630014814815,0,11.99268,2020-01-27
713,69.0233,8.08,9.58220896296296,0,11.98404,2020-01-28
714,69.0278,8.08,11.9477911851852,0,11.77272,2020-01-29
715,69.0367,7.91,11.521732962963,0,12.05964,2020-01-30
716,69.0188,8.08,8.595809481481481,0,11.72916,2020-01-31
717,68.998,7.1909090909090905,7.20074148148148,0,10.8792,2020-02-01
718,68.9883,7.91,7.896094814814809,0,11.8476,2020-02-02
719,68.9736,7.91,7.34167844444444,0,11.955960000000001,2020-02-03
720,68.9406,7.91,6.22583274074074,0,11.93436,2020-02-04
721,68.9066,7.91,5.97247133333333,0,11.68956,2020-02-05
722,68.8754,7.91,7.16713096296296,0,11.681280000000001,2020-02-06
723,68.8488,7.91,7.70879592592592,0,11.988719999999999,2020-02-07
724,68.8192,8.08,7.7242164444444406,0,12.00276,2020-02-08
725,68.7883,8.08,6.47953266666667,0,12.044880000000001,2020-02-09
726,68.7532,7.91,7.051441851851849,0,11.78316,2020-02-10
727,68.7194,8.08,7.70777,0,12.07944,2020-02-11
728,68.6957,7.74,7.05832548148148,0,12.05136,2020-02-12
729,68.6692,7.91,6.21507562962963,0,11.729519999999999,2020-02-13
730,68.6376,8.08,6.03756777777778,0,11.72772,2020-02-14
731,68.6083,8.08,6.733770888888889,0,11.729519999999999,2020-02-15
732,68.5883,7.91,5.775964148148151,0,8.925839999999999,2020-02-16
733,68.569,7.91,6.8026637037037005,0,12.2166,2020-02-17
734,68.5568,8.08,10.2902451111111,0,11.98548,2020-02-18
735,68.5605,7.17,9.20573881481482,0,11.904119999999999,2020-02-19
736,68.5283,8.08,5.77620696296296,0,11.9034,2020-02-20
737,68.4835,8.08,5.384785259259259,0,11.92572,2020-02-21
738,68.4437,8.08,6.51234,0,11.99232,2020-02-22
739,68.4475555555555,7.5888888888888895,6.92347135802469,0,3.3056,2020-02-23
740,68.4399,8.08,6.25625148148148,0,11.898,2020-02-24
741,68.3976,8.42,5.365537851851849,0,11.897639999999999,2020-02-25
742,68.3472,8.59,5.08259192592593,0,11.89944,2020-02-26
743,68.2999,8.08,5.4883042962963,0,11.92248,2020-02-27
744,68.2502,8.08,4.898546,0,11.92104,2020-02-28
745,68.1983,7.91,4.72616540740741,0,11.94012,2020-02-29
746,68.0464,8.08,5.36958407407407,0,12.00564,2020-03-04
747,68.0066,7.91,6.39536637037037,0,12.10068,2020-03-05
748,67.9758,7.91,6.08862703703704,0,12.09888,2020-03-06
749,67.9446,7.91,5.67531333333333,0,12.052439999999999,2020-03-07
750,67.9197,7.91,5.492809555555559,0,9.05112,2020-03-08
751,67.8849,7.91,5.1764440740740705,0,12.0618,2020-03-09
752,67.829,8.08,4.97878059259259,0,12.12444,2020-03-10
