Date time,Temperature,Wind Speed,Visibility,Cloud Cover
1/3/2016 15:30,23,9.2,5.1,88
1/3/2016 16:00,23.5,5.5,12.9,94.3
1/3/2016 16:30,23,7.6,5.1,88
1/3/2016 17:00,23,7.6,5,89.1
1/3/2016 17:30,22,7.6,5,88
1/3/2016 18:00,22,7.6,5,89.1
1/3/2016 18:30,22,5.5,5,88
1/3/2016 19:00,21.9,5.5,12.9,89.1
1/3/2016 19:30,22,5.6,5,88
1/3/2016 20:00,22,5.5,5,89.1
1/3/2016 20:30,22,5.5,5,88
1/3/2016 21:00,22,3.7,5,89.1
1/3/2016 21:30,22,3.7,4,88
1/3/2016 22:00,21.6,3.7,12.4,94.3
1/3/2016 22:30,22,5.3,4,88
1/3/2016 23:00,22,3.6,4,89.1
1/3/2016 23:30,22,3.5,3.1,88
1/4/2016 0:00,22,3.6,3,89.1
1/4/2016 0:30,22,3.5,3.1,88
1/4/2016 1:00,21.5,1.9,12,89.1
1/4/2016 1:30,22,1.9,3.1,88
1/4/2016 2:00,22,1.8,3,89.1
1/4/2016 2:30,22,1.8,3,88
1/4/2016 3:00,22,1.8,3,89.1
1/4/2016 3:30,21,1.8,3,88
1/4/2016 4:00,21.1,2.7,6.2,94.3
1/4/2016 4:30,21,1.7,2.1,88
1/4/2016 5:00,22,7.4,3,89.1
1/4/2016 5:30,22,7.3,3,88
1/4/2016 6:00,21,7.4,4,88.4
1/4/2016 6:30,21,5.2,4,85.8
1/4/2016 7:00,20.9,5.3,11.9,88
1/4/2016 7:30,22,5.3,3.1,85.8
1/4/2016 8:00,22.1,11,3.1,88.4
1/4/2016 8:30,22.1,10.8,4.1,86.6
1/4/2016 9:00,23.1,7.5,4.1,88.4
1/4/2016 9:30,23.2,5.2,4.1,86.6
1/4/2016 10:00,24,4.4,13.4,93.7
1/4/2016 10:30,25.1,7.4,6,86.6
1/4/2016 11:00,26.1,9.2,7.1,88
1/4/2016 11:30,25.1,9.3,9,49.1
1/4/2016 12:00,27,7.6,10,49.6
1/4/2016 12:30,26,7.7,10,49.1
1/4/2016 13:00,26.3,6.4,15.3,70.6
1/4/2016 13:30,27,7.8,10,49.1
1/4/2016 14:00,27,9.5,7.1,88
1/4/2016 14:30,26,7.9,7.1,85.8
1/4/2016 15:00,26,9.5,7.1,88
1/4/2016 15:30,25,9.6,6.1,85.8
1/4/2016 16:00,24.8,7.5,13.9,93.2
1/4/2016 16:30,25,5.8,7.1,85.8
1/4/2016 17:00,24,5.5,7.1,88
1/4/2016 17:30,24,3.9,6.1,85.8
1/4/2016 18:00,24,3.7,4.1,88
1/4/2016 18:30,24,3.7,4.2,85.8
1/4/2016 19:00,23.6,3.6,12.5,88
1/4/2016 19:30,23,3.7,5.2,85.8
1/4/2016 20:00,23,1.9,5.1,88
1/4/2016 20:30,23,1.9,5.2,85.8
1/4/2016 21:00,23,5.4,5.1,88.4
1/4/2016 21:30,23,5.3,5.2,86.6
1/4/2016 22:00,22.1,5.3,13,88
1/4/2016 22:30,22,5.4,5.2,85.8
1/4/2016 23:00,22,5.3,5.1,88
1/4/2016 23:30,22,5.3,5.2,85.8
1/5/2016 0:00,22,1.8,5.1,28
1/5/2016 0:30,21.1,1.7,3.2,25.9
1/5/2016 1:00,21.1,1.7,2.1,59.6
1/5/2016 1:30,21.1,1.7,2.3,27.2
1/5/2016 2:00,23,3.6,10,88
1/5/2016 2:30,23,3.6,10,88
