,date,time,value,date time
177,2018-01-08,10,    1 015.6,2018-01-08 10
178,2018-01-08,11,    1 008,2018-01-08 11
179,2018-01-08,12,998,2018-01-08 12
180,2018-01-08,13,999,2018-01-08 13
181,2018-01-08,14,    1 015.6,2018-01-08 14
182,2018-01-08,15,    1 061.9,2018-01-08 15
183,2018-01-08,16,999,2018-01-08 16
184,2018-01-08,17,933.8,2018-01-08 17
185,2018-01-08,18,    1 015.6,2018-01-08 18
186,2018-01-08,19,    1 015.6,2018-01-08 19
187,2018-01-08,20,    1 015.6,2018-01-08 20
188,2018-01-08,21,    1 025,2018-01-08 21
189,2018-01-08,22,    1 015.6,2018-01-08 22
190,2018-01-08,23,933.8,2018-01-08 23
191,2018-01-08,24,865,2018-01-08 24
192,2018-01-09,1,865,2018-01-09 1
193,2018-01-09,2,840,2018-01-09 2
194,2018-01-09,3,800,2018-01-09 3
195,2018-01-09,4,800,2018-01-09 4
196,2018-01-09,5,800,2018-01-09 5
197,2018-01-09,6,840,2018-01-09 6
198,2018-01-09,7,863,2018-01-09 7
199,2018-01-09,8,840,2018-01-09 8
200,2018-01-09,9,926,2018-01-09 9
201,2018-01-09,10,933.8,2018-01-09 10
202,2018-01-09,11,950,2018-01-09 11
203,2018-01-09,12,933.8,2018-01-09 12
204,2018-01-09,13,930,2018-01-09 13
205,2018-01-09,14,950,2018-01-09 14
206,2018-01-09,15,    1 280,2018-01-09 15
207,2018-01-09,16,    1 013,2018-01-09 16
208,2018-01-09,17,    1 008,2018-01-09 17
209,2018-01-09,18,954.5,2018-01-09 18
210,2018-01-09,19,    1 061.9,2018-01-09 19
211,2018-01-09,20,    1 279,2018-01-09 20
212,2018-01-09,21,    1 279,2018-01-09 21
213,2018-01-09,22,    1 280,2018-01-09 22
214,2018-01-09,23,    1 008,2018-01-09 23
215,2018-01-09,24,850,2018-01-09 24
216,2018-01-10,1,849.5,2018-01-10 1
217,2018-01-10,2,840,2018-01-10 2
218,2018-01-10,3,800,2018-01-10 3
219,2018-01-10,4,800,2018-01-10 4
220,2018-01-10,5,800,2018-01-10 5
221,2018-01-10,6,830,2018-01-10 6
222,2018-01-10,7,849.5,2018-01-10 7
223,2018-01-10,8,825,2018-01-10 8
224,2018-01-10,9,849.5,2018-01-10 9
225,2018-01-10,10,925.2,2018-01-10 10
226,2018-01-10,11,    1 005.4,2018-01-10 11
227,2018-01-10,12,925.2,2018-01-10 12
228,2018-01-10,13,890.4,2018-01-10 13
229,2018-01-10,14,925.2,2018-01-10 14
230,2018-01-10,15,925.2,2018-01-10 15
231,2018-01-10,16,925.2,2018-01-10 16
232,2018-01-10,17,925.2,2018-01-10 17
233,2018-01-10,18,925.2,2018-01-10 18
234,2018-01-10,19,998,2018-01-10 19
235,2018-01-10,20,925,2018-01-10 20
236,2018-01-10,21,950,2018-01-10 21
237,2018-01-10,22,    1 005.4,2018-01-10 22
238,2018-01-10,23,926,2018-01-10 23
239,2018-01-10,24,925.2,2018-01-10 24
240,2018-01-11,1,800,2018-01-11 1
241,2018-01-11,2,700,2018-01-11 2
242,2018-01-11,3,650,2018-01-11 3
243,2018-01-11,4,650,2018-01-11 4
244,2018-01-11,5,650,2018-01-11 5
245,2018-01-11,6,650,2018-01-11 6
246,2018-01-11,7,731.4,2018-01-11 7
247,2018-01-11,8,720,2018-01-11 8
248,2018-01-11,9,849.5,2018-01-11 9
249,2018-01-11,10,849.5,2018-01-11 10
250,2018-01-11,11,700,2018-01-11 11
251,2018-01-11,12,720,2018-01-11 12
252,2018-01-11,13,700,2018-01-11 13
253,2018-01-11,14,720,2018-01-11 14
254,2018-01-11,15,800,2018-01-11 15
255,2018-01-11,16,700,2018-01-11 16
256,2018-01-11,17,700,2018-01-11 17
257,2018-01-11,18,731.4,2018-01-11 18
258,2018-01-11,19,784,2018-01-11 19
259,2018-01-11,20,650,2018-01-11 20
260,2018-01-11,21,762,2018-01-11 21
261,2018-01-11,22,849.5,2018-01-11 22
262,2018-01-11,23,740,2018-01-11 23
263,2018-01-11,24,650,2018-01-11 24
264,2018-01-12,1,650,2018-01-12 1
265,2018-01-12,2,608,2018-01-12 2
266,2018-01-12,3,608,2018-01-12 3
267,2018-01-12,4,650,2018-01-12 4
268,2018-01-12,5,650,2018-01-12 5
269,2018-01-12,6,750,2018-01-12 6
270,2018-01-12,7,800,2018-01-12 7
271,2018-01-12,8,750,2018-01-12 8
272,2018-01-12,9,750,2018-01-12 9
273,2018-01-12,10,740,2018-01-12 10
274,2018-01-12,11,750,2018-01-12 11
275,2018-01-12,12,700,2018-01-12 12
276,2018-01-12,13,608,2018-01-12 13
277,2018-01-12,14,620,2018-01-12 14
278,2018-01-12,15,740,2018-01-12 15
279,2018-01-12,16,849.5,2018-01-12 16
280,2018-01-12,17,650,2018-01-12 17
281,2018-01-12,18,620,2018-01-12 18
282,2018-01-12,19,650,2018-01-12 19
283,2018-01-12,20,700,2018-01-12 20
284,2018-01-12,21,750,2018-01-12 21
285,2018-01-12,22,849.5,2018-01-12 22
286,2018-01-12,23,700,2018-01-12 23
287,2018-01-12,24,608,2018-01-12 24
288,2018-01-13,1,650,2018-01-13 1
289,2018-01-13,2,615,2018-01-13 2
290,2018-01-13,3,615,2018-01-13 3
291,2018-01-13,4,608,2018-01-13 4
292,2018-01-13,5,615,2018-01-13 5
293,2018-01-13,6,672,2018-01-13 6
294,2018-01-13,7,672,2018-01-13 7
295,2018-01-13,8,628,2018-01-13 8
296,2018-01-13,9,900,2018-01-13 9
297,2018-01-13,10,700,2018-01-13 10
298,2018-01-13,11,900,2018-01-13 11
299,2018-01-13,12,924.1,2018-01-13 12
300,2018-01-13,13,900,2018-01-13 13
301,2018-01-13,14,924.1,2018-01-13 14
302,2018-01-13,15,700,2018-01-13 15
303,2018-01-13,16,650,2018-01-13 16
304,2018-01-13,17,650,2018-01-13 17
305,2018-01-13,18,650,2018-01-13 18
306,2018-01-13,19,700,2018-01-13 19
307,2018-01-13,20,650,2018-01-13 20
308,2018-01-13,21,740,2018-01-13 21
309,2018-01-13,22,748,2018-01-13 22
310,2018-01-13,23,700,2018-01-13 23
311,2018-01-13,24,615,2018-01-13 24
312,2018-01-14,1,650,2018-01-14 1
313,2018-01-14,2,638,2018-01-14 2
314,2018-01-14,3,638,2018-01-14 3
315,2018-01-14,4,628,2018-01-14 4
316,2018-01-14,5,590,2018-01-14 5
317,2018-01-14,6,500,2018-01-14 6
318,2018-01-14,7,1,2018-01-14 7
319,2018-01-14,8,1,2018-01-14 8
320,2018-01-14,9,1,2018-01-14 9
