,Time,day,SMP,month,year,Date
337,2,8,650.0,9,2021,2021-09-08
338,3,8,700.0,9,2021,2021-09-08
339,4,8,700.0,9,2021,2021-09-08
340,5,8,700.0,9,2021,2021-09-08
341,6,8,650.0,9,2021,2021-09-08
342,7,8,650.0,9,2021,2021-09-08
343,8,8,650.0,9,2021,2021-09-08
344,9,8,650.0,9,2021,2021-09-08
345,10,8,700.0,9,2021,2021-09-08
346,11,8,650.0,9,2021,2021-09-08
347,12,8,700.0,9,2021,2021-09-08
348,13,8,749.0,9,2021,2021-09-08
349,14,8,723.0,9,2021,2021-09-08
350,15,8,650.0,9,2021,2021-09-08
351,16,8,300.0,9,2021,2021-09-08
352,17,8,1.0,9,2021,2021-09-08
353,18,8,1.0,9,2021,2021-09-08
354,19,8,1.0,9,2021,2021-09-08
355,20,8,1.0,9,2021,2021-09-08
356,21,8,1.0,9,2021,2021-09-08
357,22,8,1.0,9,2021,2021-09-08
358,23,8,1.0,9,2021,2021-09-08
359,24,8,1.0,9,2021,2021-09-08
360,25,8,1.0,9,2021,2021-09-08
361,26,8,1.0,9,2021,2021-09-08
362,27,8,1.0,9,2021,2021-09-08
363,28,8,1.0,9,2021,2021-09-08
364,29,8,1.0,9,2021,2021-09-08
365,30,8,1.0,9,2021,2021-09-08
366,31,8,1.0,9,2021,2021-09-08
367,32,8,1.0,9,2021,2021-09-08
368,33,8,1.0,9,2021,2021-09-08
369,34,8,800.0,9,2021,2021-09-08
370,35,8,915.0,9,2021,2021-09-08
371,36,8,949.0,9,2021,2021-09-08
372,37,8,949.0,9,2021,2021-09-08
373,38,8,949.0,9,2021,2021-09-08
374,39,8,854.1,9,2021,2021-09-08
375,40,8,749.0,9,2021,2021-09-08
376,41,8,749.0,9,2021,2021-09-08
377,42,8,650.0,9,2021,2021-09-08
378,43,8,650.0,9,2021,2021-09-08
379,44,8,499.0,9,2021,2021-09-08
380,45,8,500.0,9,2021,2021-09-08
381,46,8,500.0,9,2021,2021-09-08
382,47,8,400.0,9,2021,2021-09-08
383,48,8,400.0,9,2021,2021-09-08
384,1,9,650.0,9,2021,2021-09-09
385,2,9,650.0,9,2021,2021-09-09
386,3,9,1.0,9,2021,2021-09-09
387,4,9,400.0,9,2021,2021-09-09
388,5,9,1.0,9,2021,2021-09-09
389,6,9,1.0,9,2021,2021-09-09
390,7,9,1.0,9,2021,2021-09-09
391,8,9,1.0,9,2021,2021-09-09
392,9,9,1.0,9,2021,2021-09-09
393,10,9,1.0,9,2021,2021-09-09
394,11,9,1.0,9,2021,2021-09-09
395,12,9,1.0,9,2021,2021-09-09
396,13,9,1.0,9,2021,2021-09-09
397,14,9,1.0,9,2021,2021-09-09
398,15,9,1.0,9,2021,2021-09-09
399,16,9,1.0,9,2021,2021-09-09
400,17,9,1.0,9,2021,2021-09-09
401,18,9,1.0,9,2021,2021-09-09
402,19,9,1.0,9,2021,2021-09-09
403,20,9,1.0,9,2021,2021-09-09
404,21,9,1.0,9,2021,2021-09-09
405,22,9,1.0,9,2021,2021-09-09
406,23,9,1.0,9,2021,2021-09-09
407,24,9,1.0,9,2021,2021-09-09
408,25,9,1.0,9,2021,2021-09-09
409,26,9,1.0,9,2021,2021-09-09
410,27,9,1.0,9,2021,2021-09-09
411,28,9,1.0,9,2021,2021-09-09
412,29,9,1.0,9,2021,2021-09-09
413,30,9,1.0,9,2021,2021-09-09
414,31,9,1.0,9,2021,2021-09-09
415,32,9,1.0,9,2021,2021-09-09
416,33,9,1.0,9,2021,2021-09-09
417,34,9,749.0,9,2021,2021-09-09
418,35,9,854.1,9,2021,2021-09-09
419,36,9,930.0,9,2021,2021-09-09
420,37,9,962.0,9,2021,2021-09-09
421,38,9,899.1,9,2021,2021-09-09
422,39,9,850.0,9,2021,2021-09-09
423,40,9,750.0,9,2021,2021-09-09
424,41,9,650.0,9,2021,2021-09-09
425,42,9,300.0,9,2021,2021-09-09
426,43,9,650.0,9,2021,2021-09-09
427,44,9,650.0,9,2021,2021-09-09
428,45,9,650.0,9,2021,2021-09-09
429,46,9,400.0,9,2021,2021-09-09
430,47,9,1.0,9,2021,2021-09-09
431,48,9,1.0,9,2021,2021-09-09
432,1,10,749.0,9,2021,2021-09-10
433,2,10,749.0,9,2021,2021-09-10
434,3,10,749.0,9,2021,2021-09-10
435,4,10,749.0,9,2021,2021-09-10
436,5,10,749.0,9,2021,2021-09-10
437,6,10,749.0,9,2021,2021-09-10
438,7,10,749.0,9,2021,2021-09-10
