Time,Day,SMP,Month,Year
2,8,985.2,9,2020
3,8,943.2,9,2020
4,8,943.2,9,2020
5,8,943.2,9,2020
6,8,900.0,9,2020
7,8,850.0,9,2020
8,8,860.0,9,2020
9,8,943.2,9,2020
10,8,943.2,9,2020
11,8,943.2,9,2020
12,8,950.0,9,2020
13,8,943.2,9,2020
14,8,943.2,9,2020
15,8,981.0,9,2020
16,8,1042.1,9,2020
17,8,1341.0,9,2020
18,8,1100.0,9,2020
19,8,1042.1,9,2020
20,8,1010.0,9,2020
21,8,1000.0,9,2020
22,8,985.4,9,2020
23,8,943.2,9,2020
24,8,901.0,9,2020
25,8,850.0,9,2020
26,8,943.2,9,2020
27,8,980.0,9,2020
28,8,979.0,9,2020
29,8,985.4,9,2020
30,8,985.4,9,2020
31,8,1000.0,9,2020
32,8,1010.0,9,2020
33,8,1054.0,9,2020
34,8,1010.0,9,2020
35,8,1009.0,9,2020
36,8,1010.0,9,2020
37,8,1010.0,9,2020
38,8,1010.0,9,2020
39,8,1010.0,9,2020
40,8,1010.0,9,2020
41,8,1105.9,9,2020
42,8,1200.0,9,2020
43,8,1010.0,9,2020
44,8,1009.0,9,2020
45,8,1009.0,9,2020
46,8,1000.0,9,2020
47,8,980.0,9,2020
48,8,979.0,9,2020
1,9,943.2,9,2020
2,9,903.2,9,2020
3,9,860.0,9,2020
4,9,850.0,9,2020
5,9,850.0,9,2020
6,9,850.0,9,2020
7,9,837.0,9,2020
8,9,850.0,9,2020
9,9,850.0,9,2020
10,9,850.0,9,2020
11,9,850.0,9,2020
12,9,850.0,9,2020
13,9,850.0,9,2020
14,9,800.0,9,2020
15,9,830.0,9,2020
16,9,850.0,9,2020
17,9,933.2,9,2020
18,9,950.0,9,2020
19,9,943.2,9,2020
20,9,943.2,9,2020
21,9,981.0,9,2020
22,9,979.0,9,2020
23,9,850.0,9,2020
24,9,837.0,9,2020
25,9,837.0,9,2020
26,9,850.0,9,2020
27,9,900.0,9,2020
28,9,943.2,9,2020
29,9,980.0,9,2020
30,9,985.4,9,2020
31,9,1009.0,9,2020
32,9,985.4,9,2020
33,9,1009.0,9,2020
34,9,1010.0,9,2020
35,9,1010.0,9,2020
36,9,999.0,9,2020
37,9,1010.0,9,2020
38,9,999.4,9,2020
39,9,985.4,9,2020
40,9,990.0,9,2020
41,9,1000.0,9,2020
42,9,1010.0,9,2020
43,9,1010.0,9,2020
44,9,1009.0,9,2020
45,9,989.0,9,2020
46,9,1009.0,9,2020
47,9,945.6,9,2020
48,9,877.4,9,2020
1,10,903.2,9,2020
2,10,850.0,9,2020
3,10,837.0,9,2020
4,10,837.0,9,2020
5,10,837.0,9,2020
6,10,837.0,9,2020
7,10,800.0,9,2020
8,10,800.0,9,2020
9,10,800.0,9,2020
10,10,800.0,9,2020
11,10,800.0,9,2020
12,10,837.0,9,2020
13,10,837.0,9,2020
14,10,837.0,9,2020
15,10,837.0,9,2020
16,10,800.0,9,2020
17,10,850.0,9,2020
18,10,850.0,9,2020
19,10,860.0,9,2020
20,10,850.0,9,2020
21,10,850.0,9,2020
22,10,877.4,9,2020
23,10,850.0,9,2020
24,10,655.3,9,2020
25,10,500.0,9,2020
26,10,655.3,9,2020
27,10,690.0,9,2020
28,10,655.3,9,2020
29,10,800.0,9,2020
30,10,837.0,9,2020
31,10,850.0,9,2020
32,10,943.2,9,2020
33,10,979.0,9,2020
34,10,943.2,9,2020
35,10,855.0,9,2020
36,10,900.0,9,2020
37,10,943.2,9,2020
38,10,996.0,9,2020
39,10,995.0,9,2020
40,10,995.0,9,2020
41,10,995.0,9,2020
42,10,996.0,9,2020
43,10,995.0,9,2020
44,10,996.0,9,2020
45,10,995.0,9,2020
46,10,979.0,9,2020
47,10,943.2,9,2020
48,10,900.0,9,2020
1,11,940.0,9,2020
2,11,900.0,9,2020
3,11,870.0,9,2020
4,11,854.0,9,2020
5,11,854.0,9,2020
6,11,854.0,9,2020
7,11,850.0,9,2020
8,11,855.0,9,2020
9,11,850.0,9,2020
10,11,850.0,9,2020
11,11,848.0,9,2020
12,11,850.0,9,2020
13,11,850.0,9,2020
14,11,837.0,9,2020
15,11,837.0,9,2020
16,11,900.0,9,2020
17,11,943.2,9,2020
18,11,950.0,9,2020
19,11,972.1,9,2020
20,11,987.0,9,2020
21,11,972.1,9,2020
22,11,996.0,9,2020
23,11,972.1,9,2020
24,11,943.2,9,2020
25,11,943.2,9,2020
26,11,900.0,9,2020
27,11,900.0,9,2020
28,11,879.0,9,2020
29,11,899.0,9,2020
30,11,920.0,9,2020
31,11,943.2,9,2020
32,11,979.0,9,2020
33,11,995.0,9,2020
34,11,943.2,9,2020
35,11,855.0,9,2020
36,11,900.0,9,2020
37,11,979.0,9,2020
38,11,995.0,9,2020
39,11,943.2,9,2020
40,11,890.0,9,2020
41,11,903.2,9,2020
42,11,979.0,9,2020
43,11,996.0,9,2020
44,11,1009.0,9,2020
45,11,1009.0,9,2020
46,11,979.0,9,2020
47,11,943.2,9,2020
48,11,877.4,9,2020
1,12,943.2,9,2020
2,12,900.0,9,2020
3,12,900.0,9,2020
4,12,900.0,9,2020
5,12,900.0,9,2020
6,12,877.4,9,2020
